INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,OCCUR_YEAR
29145871,05/20/2007,8:18:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,25-44,M,BLACK,994989,176665,40.65158298200004,-73.96129985199997,POINT (-73.96129985199997 40.65158298200004),2007
76565993,12/22/2010,16:15:00,BRONX,43,0,,false,<18,M,BLACK,18-24,M,BLACK,1020093,238185,40.82037396000004,-73.87050149599996,POINT (-73.87050149599996 40.82037396000004),2010
63214331,06/26/2009,21:44:00,BRONX,47,0,,false,UNKNOWN,U,UNKNOWN,45-64,F,BLACK,1022873,260630,40.881967045000074,-73.86032813699995,POINT (-73.86032813699997 40.881967045000074),2009
24773582,09/14/2006,1:10:00,BROOKLYN,88,0,MULTI DWELL - APT BUILD,true,UNKNOWN,U,UNKNOWN,45-64,F,BLACK,994283,190096,40.68844890700007,-73.963824172,POINT (-73.963824172 40.68844890700007),2006
75233800,10/26/2010,3:03:00,BRONX,41,0,,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1014652,235837,40.81394976400002,-73.89017032199997,POINT (-73.89017032199997 40.81394976400002),2010
23354102,07/04/2006,2:45:00,QUEENS,105,0,BAR/NIGHT CLUB,false,UNKNOWN,M,BLACK,25-44,M,BLACK,1057466,204039,40.726421843000026,-73.73584631499993,POINT (-73.73584631499993 40.726421843000026),2006
24591360,10/01/2006,23:56:00,QUEENS,113,0,,false,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1045612,182598,40.66766163600005,-73.77880934999997,POINT (-73.77880934999997 40.66766163600005),2006
84452517,04/29/2012,5:17:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,25-44,M,BLACK,1002814,172717,40.64073363000005,-73.93311071199997,POINT (-73.93311071199997 40.64073363000005),2012
76589630,12/24/2010,3:27:00,BROOKLYN,83,0,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,25-44,M,BLACK,1008908,191958,40.69353100500007,-73.91108214699995,POINT (-73.91108214699995 40.69353100500007),2010
147654906,11/09/2015,6:14:00,MANHATTAN,14,1,,true,25-44,M,WHITE,25-44,M,WHITE HISPANIC,986195,213562,40.752862899000036,-73.99298133199994,POINT (-73.99298133199994 40.752862899000036),2015
24320685,09/14/2006,11:22:00,BROOKLYN,77,0,,false,UNKNOWN,M,BLACK,18-24,M,BLACK,996116,183905,40.671453747000044,-73.95722559099994,POINT (-73.95722559099994 40.671453747000044),2006
62860010,06/17/2009,22:45:00,BRONX,40,0,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1010580,236353,40.81537911400005,-73.90487890699995,POINT (-73.90487890699995 40.81537911400005),2009
25095840,10/31/2006,21:48:00,BRONX,46,0,,false,18-24,M,BLACK HISPANIC,<18,M,BLACK,1012078,252019,40.85837313300004,-73.89940208399997,POINT (-73.89940208399997 40.85837313300004),2006
33397041,07/26/2007,21:05:00,BROOKLYN,69,0,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,<18,M,BLACK,1015449,170671,40.63508230600007,-73.88759314999999,POINT (-73.88759314999999 40.63508230600008),2007
35215530,10/20/2007,20:15:00,BRONX,46,0,,false,18-24,M,BLACK,<18,M,BLACK,1008879,250787,40.85500116600008,-73.91097111999993,POINT (-73.91097111999993 40.85500116600008),2007
92330650,08/28/2013,2:10:00,BRONX,44,0,,false,<18,M,BLACK,18-24,M,BLACK,1003762,243810,40.83586414400003,-73.92948863899994,POINT (-73.92948863899994 40.83586414400003),2013
155036101,07/19/2016,20:17:00,BROOKLYN,76,2,MULTI DWELL - PUBLIC HOUS,true,18-24,M,BLACK,18-24,M,BLACK,982426,185197,40.67500776000002,-74.00657714899995,POINT (-74.00657714899995 40.67500776000002),2016
45491760,04/10/2008,16:45:00,BROOKLYN,70,0,,false,18-24,M,BLACK,<18,M,BLACK,994849,175294,40.64782005200004,-73.96180654299998,POINT (-73.96180654299998 40.64782005200004),2008
16631484,05/29/2006,2:23:00,MANHATTAN,34,0,NONE,false,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1003295,250400,40.85395277700008,-73.93115757599996,POINT (-73.93115757599998 40.85395277700008),2006
33253265,07/22/2007,23:19:00,BROOKLYN,73,0,,false,18-24,M,BLACK,45-64,F,BLACK,1009461,178920,40.657743089000064,-73.90913674099994,POINT (-73.90913674099994 40.657743089000064),2007
72077236,04/06/2010,3:13:00,BROOKLYN,73,0,,false,UNKNOWN,F,BLACK,25-44,M,BLACK,1006499,183702,40.67087655300003,-73.91979650299999,POINT (-73.91979650299999 40.67087655300003),2010
24888640,10/19/2006,18:34:00,BRONX,44,0,,true,18-24,M,BLACK,<18,M,BLACK,1005193,244695,40.838289935000034,-73.92431450499998,POINT (-73.924314505 40.838289935000034),2006
61459877,05/06/2009,22:20:00,BROOKLYN,71,0,,false,UNKNOWN,M,BLACK,18-24,M,BLACK,1002948,182618,40.66790942700004,-73.93260042799993,POINT (-73.93260042799993 40.66790942700004),2009
168080336,08/14/2017,0:59:00,STATEN ISLAND,120,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,18-24,M,WHITE HISPANIC,960040,174186,40.64475207900006,-74.08724138199995,POINT (-74.08724138199995 40.64475207900006),2017
83292061,02/21/2012,23:48:00,QUEENS,100,0,,false,<18,M,BLACK,<18,M,BLACK,1040051,155268,40.59268353900006,-73.79908101899997,POINT (-73.79908101899997 40.59268353900006),2012
67726495,11/11/2009,15:43:00,BRONX,52,0,,false,UNKNOWN,U,UNKNOWN,18-24,M,BLACK HISPANIC,1014346,253504,40.862441568000065,-73.89119650999999,POINT (-73.89119650999999 40.862441568000065),2009
53847341,11/07/2008,23:23:00,BRONX,52,0,GROCERY/BODEGA,false,UNKNOWN,M,BLACK,18-24,M,BLACK,1016425,260134,40.88063154300004,-73.88364855199995,POINT (-73.88364855199995 40.88063154300004),2008
147052371,10/19/2015,16:17:00,MANHATTAN,25,0,,false,45-64,M,BLACK,45-64,M,BLACK,1001375,231978,40.80339359100003,-73.93814501199995,POINT (-73.93814501199995 40.80339359100003),2015
143334353,05/31/2015,15:44:00,BROOKLYN,81,0,,false,UNKNOWN,U,UNKNOWN,45-64,M,BLACK,1003836,188679,40.68454358300004,-73.92938182699999,POINT (-73.929381827 40.68454358300004),2015
64297171,08/01/2009,2:22:00,BROOKLYN,75,0,,false,UNKNOWN,U,UNKNOWN,<18,M,BLACK,1021564,181567,40.66496578300007,-73.865500894,POINT (-73.865500894 40.66496578300007),2009
81560488,11/05/2011,4:25:00,BRONX,52,0,,true,<18,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1015433,255897,40.86900585100005,-73.88725558999994,POINT (-73.88725558999994 40.86900585100005),2011
167036161,07/14/2017,3:26:00,BROOKLYN,70,0,,false,25-44,M,BLACK,18-24,M,ASIAN / PACIFIC ISLANDER,993625,177253,40.653198462000034,-73.96621466699997,POINT (-73.96621466699997 40.653198462000034),2017
37610459,01/10/2008,3:47:00,MANHATTAN,10,0,,true,18-24,M,BLACK,25-44,M,BLACK,983379,213311,40.75217413800004,-74.00314512899996,POINT (-74.00314512899996 40.75217413800004),2008
